Fines	Areas_actividad	TM 	frequency_l1	keywords_l1	frequency_l2	keywords_l2
- Bring the foundational social sense of the entity to new heights, to continue working with the schools as up to now, with the public administrations and entities of the educational sector. - Expand the task until other projects and social agents where do lacking the sportive promotion and of leisure in favour of the infancy and the youngsters. - Emphasize the educational values of the physical activity and the leisure, such like personal growth, health, welfare and asociacionismo, considering them pedagogical base of an integral education. Working in base to two main lines: · the physical activity, the sport and the leisure · the project any boy without sport	Cultural - sport	Recreation and Sports	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	210	right (170), sport (123), valu (118), sportiv (115), human (113), practic (72), respect (66), freedom (60), solidar (59), integr (55), defenc (52), fundament (38), principl (38), equal (36), citizen (35), democrat (35), base (34), justic (32), peac (32), element (28), 
Boost and develop all type of activities directed in this regard of the human life, of the inherent human rights and to his defence, help and protection from the conception until the natural death.	Education - social services	Recreation and Sports	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	210	right (170), sport (123), valu (118), sportiv (115), human (113), practic (72), respect (66), freedom (60), solidar (59), integr (55), defenc (52), fundament (38), principl (38), equal (36), citizen (35), democrat (35), base (34), justic (32), peac (32), element (28), 
The promotion of the person from the education, especially in the leisure and the social action, based in values of the Christian humanism.	Cultural - education - environment - research - social services	Recreation and Sports	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	210	right (170), sport (123), valu (118), sportiv (115), human (113), practic (72), respect (66), freedom (60), solidar (59), integr (55), defenc (52), fundament (38), principl (38), equal (36), citizen (35), democrat (35), base (34), justic (32), peac (32), element (28), 
It defends of the collective rights of the villages, improving the knowledge, the recognition and the solidarity.	Cultural - research	Recreation and Sports	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	210	right (170), sport (123), valu (118), sportiv (115), human (113), practic (72), respect (66), freedom (60), solidar (59), integr (55), defenc (52), fundament (38), principl (38), equal (36), citizen (35), democrat (35), base (34), justic (32), peac (32), element (28), 
Integral education of boys and young in values and in emotional education. Education, healthy alimentary habits and balanced. Establish bonds with the text asociativo, with volountatn transformative. promocionar The entitatas of leisure, sportive, cultural, traditional and cultural, improving the work in network. Promote healthy and sportive habits between the oves, adults and greater people. Have cure for the inclusion, the attention to the diversity and promote the equity and equality of oportunitas. Promote the healthy feeding and balanced, of km0. Diffusion of the vcultura and the Catalan identity. Boost the learning of languages, the educational leisure, the cultural activities, the plastic and musical arts and the special educational needs. Concerning the environment and sostenibiliat. Management of groups of participatory work, solidarios and responsible.	Education	Recreation and Sports	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	210	right (170), sport (123), valu (118), sportiv (115), human (113), practic (72), respect (66), freedom (60), solidar (59), integr (55), defenc (52), fundament (38), principl (38), equal (36), citizen (35), democrat (35), base (34), justic (32), peac (32), element (28), 
Titularity of educational centres opened to all the world that, without any type of afán of lucre, complement the educational action of the family. The foundation favours and values: 1. The person attending his characteristics and individual needs. 2. The growth of the alumnado in the different appearances that integrate his personality. 3. The values that educate by the solidarity, the freedom and the respect. 4. The sensitisation by the with regard to the environment.	Education	Recreation and Sports	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	210	right (170), sport (123), valu (118), sportiv (115), human (113), practic (72), respect (66), freedom (60), solidar (59), integr (55), defenc (52), fundament (38), principl (38), equal (36), citizen (35), democrat (35), base (34), justic (32), peac (32), element (28), 
The mission last of the foundation clarity is to contribute, from the sport, the health and the leisure to improve the quality of life of the people along his life. The foundation promotes and loans sportive services of quality from an approach socially inclusivo (sport for all the world), ethically responsible and of commitment with the surroundings.	Environment - health (hospitable)	Recreation and Sports	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	210	right (170), sport (123), valu (118), sportiv (115), human (113), practic (72), respect (66), freedom (60), solidar (59), integr (55), defenc (52), fundament (38), principl (38), equal (36), citizen (35), democrat (35), base (34), justic (32), peac (32), element (28), 
Boost the participation of boys, teenage and young in the centres of esparcimiento. Consolidate the voluntary work like a form to understand the life. Be present in the society through the education in the leisure promoting the participation, the civic animation, the education by the peace and the social education. Attend to the infancy and to the youth, promoting the integration of the disabled people. Look after the acceptance, inside our entities, of the people other cultures and environments. Support in the centres of esparcimiento and to other entities and movements for his development. Promote the improvement of the houses of colonies to offer a good service to the groups and to the entities. Look after the training of the educators and educating in the leisure, being an open service to the society, giving priority in the centres of esparcimiento of coordination of centres.	Education - environment	Recreation and Sports	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	210	right (170), sport (123), valu (118), sportiv (115), human (113), practic (72), respect (66), freedom (60), solidar (59), integr (55), defenc (52), fundament (38), principl (38), equal (36), citizen (35), democrat (35), base (34), justic (32), peac (32), element (28), 
Non-profit private entity, based in some Christian moral norms, directed to the family allowance like base of the good operation in the current society. It pretends to contribute and help to the training and education in the values that have to serve of base to our society by means of destined programs to the profit of the familiar unit and to the integral development, physicist, social, mental and spiritual of the members that compose it: parents and children	Education - social services	Recreation and Sports	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	210	right (170), sport (123), valu (118), sportiv (115), human (113), practic (72), respect (66), freedom (60), solidar (59), integr (55), defenc (52), fundament (38), principl (38), equal (36), citizen (35), democrat (35), base (34), justic (32), peac (32), element (28), 
To. Provide espaldarazo moral and material to entities without afán of lucre linked to the company of jesús. b. Protect and support the philosophy of training promoted from the 1959 by the p. jesuita joan Towers gasset in the field of the management of people that occupy or can occupy places of responsibility, directors and no managerial, so much to the society like the company, and that  concrete in an integral training, technical, human and social. c. Ensure the existence, update, prestige, divulging and, especially, fidelity to the philosophy of training that  explicita in the principles: humanist, of freedom and respect, of economic efficiency, of professionalism and exigencia and of solidarity. d. Contribute with his contributions to improve the ethical value to our business community and transform positively the civil society for a greater justice and participation.	Education	Recreation and Sports	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	210	right (170), sport (123), valu (118), sportiv (115), human (113), practic (72), respect (66), freedom (60), solidar (59), integr (55), defenc (52), fundament (38), principl (38), equal (36), citizen (35), democrat (35), base (34), justic (32), peac (32), element (28), 
It defends of a juster society based in the participatory democracy, the solidarity, the defence of the rights of the person, and of the civic commitment to struggle against the social exclusion and the inequalities of deal and opportunities. Establish relations and complicities with the civil society organised and working in network, with the public institutions, the movement asociativo and the social agents of the sector. -	Research - social services	Recreation and Sports	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	210	right (170), sport (123), valu (118), sportiv (115), human (113), practic (72), respect (66), freedom (60), solidar (59), integr (55), defenc (52), fundament (38), principl (38), equal (36), citizen (35), democrat (35), base (34), justic (32), peac (32), element (28), 
The foundation has by object and purpose the promotion, development, protection and promotion of sportive activities and, especially, the basic football, as well as cultural and social, and in general the mecenazgo of activities with foundation in principles of common utility and integral development of the person.	Cultural	Recreation and Sports	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	210	right (170), sport (123), valu (118), sportiv (115), human (113), practic (72), respect (66), freedom (60), solidar (59), integr (55), defenc (52), fundament (38), principl (38), equal (36), citizen (35), democrat (35), base (34), justic (32), peac (32), element (28), 
The motivations were based in two main reasons: the environmental worry and the search of an able juridical instrument to organise and to pipe all a series of activities of mecenazgo and solidarity that carried out the society founder. Promote and boost, non-profit, the integral improvement of the quality of life of the people and of the half where inhabit, with activities of solidarity, environmental, cultural and educational, combining the maximum of aims in each activity.	Cultural - education - environment - research - social services	Recreation and Sports	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	210	right (170), sport (123), valu (118), sportiv (115), human (113), practic (72), respect (66), freedom (60), solidar (59), integr (55), defenc (52), fundament (38), principl (38), equal (36), citizen (35), democrat (35), base (34), justic (32), peac (32), element (28), 
Investigate and innovar the possible forms and structures of management of the companies asociativas agricultural. Design formative plans and realise permanent training of companies and cooperative, and also boost the training of the young agriculturalist. Do reality one	Education - research - corporate social responsibility - social services	Environment	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	169	sustain (113), environment (107), environ (96), natur (92), rural (78), conserv (55), half (50), energi (42), resourc (40), energet (40), agricultur (38), innov (32), product (29), protect (29), heritag (28), ecolog (27), chang (26), water (25), climat (25), technolog (24), 
Actions on sustainability in his vectors of protection of the environment, social equity and economic growth, and look after the improvement of the quality of life of the human being. Enrichment of the cultural heritage of the community. Promotion of a culture of the responsible water. Politics of social commitment applicant to involucrarse constructivamente in the activities that participates . The final aim is to value and ensure the social value of these actions, velant by a responsible use of the water.	Cultural - education - environment - research	Environment	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	169	sustain (113), environment (107), environ (96), natur (92), rural (78), conserv (55), half (50), energi (42), resourc (40), energet (40), agricultur (38), innov (32), product (29), protect (29), heritag (28), ecolog (27), chang (26), water (25), climat (25), technolog (24), 
The object of the foundation is the knowledge, the protection, the study and the divulging mainly of the natural heritage by means of the collaboration with the different agents of the territory through the research the conservation of the natural heritage, the environmental education and the generation of green economy.	Education - environment - research	Environment	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	169	sustain (113), environment (107), environ (96), natur (92), rural (78), conserv (55), half (50), energi (42), resourc (40), energet (40), agricultur (38), innov (32), product (29), protect (29), heritag (28), ecolog (27), chang (26), water (25), climat (25), technolog (24), 
Promote the works of investigation and the provision of services of technical assistance in the fields of the economy and the social sciences applied to the agricultural and alimentary sectors, as well as the one to contribute to the rural development of our society and to comprise better the complex relations that join to the sector agroalimentario with the territory and with the half natural in which it develops  his activity	Research	Environment	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	169	sustain (113), environment (107), environ (96), natur (92), rural (78), conserv (55), half (50), energi (42), resourc (40), energet (40), agricultur (38), innov (32), product (29), protect (29), heritag (28), ecolog (27), chang (26), water (25), climat (25), technolog (24), 
Environmental sensitisation to promote a new ethical socioecològica. Promotion of the energetic efficiency and the sustainable development. Restoration of small natural spaces periurbanos. Cooperation to transfer ecological technology in the third world.	Environment	Environment	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	169	sustain (113), environment (107), environ (96), natur (92), rural (78), conserv (55), half (50), energi (42), resourc (40), energet (40), agricultur (38), innov (32), product (29), protect (29), heritag (28), ecolog (27), chang (26), water (25), climat (25), technolog (24), 
To) promote and spread activities of environmental education,education patrimonial and education by the values of the humanity. b) Educate to create consciousness of respect verse to all the members of our collectivity verse the surroundings in the what live. c) concienciar On the need to promote the equality between all the people and the different cultures. d)Spread the concept of quality of life like that level in which the people enjoy of an education, feeding, sanitary services, house and some worthy and healthy surroundings. And) educate by the sustainability understood like that way to live a society that preserves the resources for the future generations, looking for, by means of the development, a quality of just life for all the inhabitants of the planet. f) Educate to create consciousness of respect fits the historical heritage venue. G) educate for the convivencia citizen	Education - environment	Environment	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	169	sustain (113), environment (107), environ (96), natur (92), rural (78), conserv (55), half (50), energi (42), resourc (40), energet (40), agricultur (38), innov (32), product (29), protect (29), heritag (28), ecolog (27), chang (26), water (25), climat (25), technolog (24), 
Contribute, through the research, the technological development and services of consultancy, to the improvement of the systems of management and treatment of organic waste and, in general, to the sustainable development of the productive sectors and to the environmental quality of the territory to world-wide level and be referent in the context of Mediterranean climate by his specificity	Education - environment - research	Environment	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	169	sustain (113), environment (107), environ (96), natur (92), rural (78), conserv (55), half (50), energi (42), resourc (40), energet (40), agricultur (38), innov (32), product (29), protect (29), heritag (28), ecolog (27), chang (26), water (25), climat (25), technolog (24), 
Study the relation between the physical processes of the alone and the ones of the earth.	Education - research - cultural	Environment	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	169	sustain (113), environment (107), environ (96), natur (92), rural (78), conserv (55), half (50), energi (42), resourc (40), energet (40), agricultur (38), innov (32), product (29), protect (29), heritag (28), ecolog (27), chang (26), water (25), climat (25), technolog (24), 
Non-profit foundation, created in April of 2008 and devoted to the diffusion of the knowledge, the understanding and the respect by the horse, the people and the earth.We have three areas of performance to which devote our effort: 1. The recovery of pertinent horses of maltreatment, facilitating his life in commanded in big natural spaces, and the divulging of his needs and of his welfare. 2. The social and cultural task. We accompany processes of personal development, educational and formative with the support and the vital energy of the free horses. We connect creativity and nature like resources of health, and have cure of the cultural heritage of the spaces where act. 3. The custody of the territory. Our horses recovered, live in plenitud paciendo several natural spaces of catalunya according to the period of the year, and assistant to improve and conserve the territory and the biodiversidad.	Environment	Environment	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	169	sustain (113), environment (107), environ (96), natur (92), rural (78), conserv (55), half (50), energi (42), resourc (40), energet (40), agricultur (38), innov (32), product (29), protect (29), heritag (28), ecolog (27), chang (26), water (25), climat (25), technolog (24), 
Favour the technical development, economic and social of the agricultural sector, the improvement of the conditions of life in the half rural, the preservation and conservation of the environment and of the natural surroundings and the economic progress, social and cultural of the professionals of the agricultural activities.	Social services - education	Environment	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	169	sustain (113), environment (107), environ (96), natur (92), rural (78), conserv (55), half (50), energi (42), resourc (40), energet (40), agricultur (38), innov (32), product (29), protect (29), heritag (28), ecolog (27), chang (26), water (25), climat (25), technolog (24), 
Contribute to the promotion in the half rural, by means of diverse actions, programs and projects, as also the training for the agricultural development.	Education - social services - cultural	Environment	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	169	sustain (113), environment (107), environ (96), natur (92), rural (78), conserv (55), half (50), energi (42), resourc (40), energet (40), agricultur (38), innov (32), product (29), protect (29), heritag (28), ecolog (27), chang (26), water (25), climat (25), technolog (24), 
Technical development, economic and social and cultural of the agricultural sector, the preservation of the environment and of the natural surroundings and the economic progress, social and cultural of the inhabitants of the environment.	Cultural	Environment	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	169	sustain (113), environment (107), environ (96), natur (92), rural (78), conserv (55), half (50), energi (42), resourc (40), energet (40), agricultur (38), innov (32), product (29), protect (29), heritag (28), ecolog (27), chang (26), water (25), climat (25), technolog (24), 
Agricultural experimentation in the areas of performance of: fructicultura, crops extensivos, protection of crops, agrometeorologia and irrigación and forest species of fast growth, so as to orient and improve the agriculture of the regions gerundenses, in profit of this and of his professionals.	Research	Environment	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	169	sustain (113), environment (107), environ (96), natur (92), rural (78), conserv (55), half (50), energi (42), resourc (40), energet (40), agricultur (38), innov (32), product (29), protect (29), heritag (28), ecolog (27), chang (26), water (25), climat (25), technolog (24), 
Promote the pedagogy and boost the diffusion of the design and of the art, the image and the communication. Create an art collection and skilled library. Boost the artistic and cultural activities. Organise, promote and direct studies, seminars, colloquia	Cultural - education	Education	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	162	scholarship (111), prize (94), grant (83), award (31), abl (24), student (23), artist (23), conced (23), charact (21), creation (20), annual (20), seminar (20), class (19), exhibit (19), centr (18), attend (18), school (18), doctor (18), confer (18), year (17), 
Granting of scholarships for the permanent training, the research of new innovative projects in the economic and social field, finance to the students in the economic and educational field, publication of books of university training, organisation of seminars and cone	Cultural - education	Education	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	162	scholarship (111), prize (94), grant (83), award (31), abl (24), student (23), artist (23), conced (23), charact (21), creation (20), annual (20), seminar (20), class (19), exhibit (19), centr (18), attend (18), school (18), doctor (18), confer (18), year (17), 
The announcement and organisation of literary or cultural prizes, especially the prize prudenci bertrana, in addition to all type of activities of cultural type of general interest, related with the Catalan culture to develop fundamentally in earths gerundenses.	Cultural	Education	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	162	scholarship (111), prize (94), grant (83), award (31), abl (24), student (23), artist (23), conced (23), charact (21), creation (20), annual (20), seminar (20), class (19), exhibit (19), centr (18), attend (18), school (18), doctor (18), confer (18), year (17), 
Study, research and teaching in the university field, postuniversitari and of permanent training. Granting of scholarships, stock exchanges of work and commissions to students and professors for cursar studies. Promotion of the integration of the titled in the professional world.	Cultural - education - research - corporate social responsibility	Education	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	162	scholarship (111), prize (94), grant (83), award (31), abl (24), student (23), artist (23), conced (23), charact (21), creation (20), annual (20), seminar (20), class (19), exhibit (19), centr (18), attend (18), school (18), doctor (18), confer (18), year (17), 
Put to disposal of the researchers and of the studious the documentary archive of the doctor albert bonet, and the entities created by him or continuadoras of his work. Organise public acts and other cultural activities and, if it does to the case, award economic helps to spread the moral and civic values defended by the doctor bonet. Give to know all the work that the doctor bonet realised for the training of the Catalan youth.	Research	Education	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	162	scholarship (111), prize (94), grant (83), award (31), abl (24), student (23), artist (23), conced (23), charact (21), creation (20), annual (20), seminar (20), class (19), exhibit (19), centr (18), attend (18), school (18), doctor (18), confer (18), year (17), 
The promotion and assistance of all class of cultural activities and artisticas and the granting of prizes, distinctions, scholarships, helps and subsidise for culquier class of studies, exhibitions, performances, interventions and diffusion, inside all the indicated bouquets of activity.	Cultural	Education	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	162	scholarship (111), prize (94), grant (83), award (31), abl (24), student (23), artist (23), conced (23), charact (21), creation (20), annual (20), seminar (20), class (19), exhibit (19), centr (18), attend (18), school (18), doctor (18), confer (18), year (17), 
Promotion of all type of cultural activities, artistic and scientific, and also the ones of medical research, farmacological, chemical and biological, as well as the granting of prizes, distinctions, scholarships, helps and subsidies for any type of study, exhibitions, experiences, performances, interventions and diffusions inside all the branches of activity mentioned.	Cultural - health	Education	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	162	scholarship (111), prize (94), grant (83), award (31), abl (24), student (23), artist (23), conced (23), charact (21), creation (20), annual (20), seminar (20), class (19), exhibit (19), centr (18), attend (18), school (18), doctor (18), confer (18), year (17), 
His foundational purposes are, between others, the organisation of the annual edition of the Catalan university of summer that celebrates  during the month of August to meadow of conflent, the organisation other seminars, days, conferences in all the territory, the edition of books, the granting of prizes, scholarships and helps, etc.	Cultural - education - research	Education	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	162	scholarship (111), prize (94), grant (83), award (31), abl (24), student (23), artist (23), conced (23), charact (21), creation (20), annual (20), seminar (20), class (19), exhibit (19), centr (18), attend (18), school (18), doctor (18), confer (18), year (17), 
Investigation, research, divulging biomédica, granting of scholarships, helps, prizes, etc, for the realisation of university studies or of investigation, biomédicos and clinical, epidemiológicos and psychosocial.	Education - research - health (hospitable)	Education	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	162	scholarship (111), prize (94), grant (83), award (31), abl (24), student (23), artist (23), conced (23), charact (21), creation (20), annual (20), seminar (20), class (19), exhibit (19), centr (18), attend (18), school (18), doctor (18), confer (18), year (17), 
Facilitate the access to the education, to all the levels, of the lacking people of sufficient economic means, comprising the studies of university postgraduate and for works of investigation and others that create  of interest, by means of the granting of scholarships, economic helps, prizes and of the organisation of courses, conferences and other cultural activities of promotion, without limitation. Provide economic aid to individual people in situation of precariedad for the satisfaction of the vital attentions of first need.	Education	Education	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	162	scholarship (111), prize (94), grant (83), award (31), abl (24), student (23), artist (23), conced (23), charact (21), creation (20), annual (20), seminar (20), class (19), exhibit (19), centr (18), attend (18), school (18), doctor (18), confer (18), year (17), 
Cultural promotion and investigation, library of hostafrancs, inventory of the cultural heritage of the segarra, otorgamiento of scholarships of study and prizes.	Cultural - research	Education	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	162	scholarship (111), prize (94), grant (83), award (31), abl (24), student (23), artist (23), conced (23), charact (21), creation (20), annual (20), seminar (20), class (19), exhibit (19), centr (18), attend (18), school (18), doctor (18), confer (18), year (17), 
Granting of scholarships of work for students of the schools of cinematografía.	Cultural	Education	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	162	scholarship (111), prize (94), grant (83), award (31), abl (24), student (23), artist (23), conced (23), charact (21), creation (20), annual (20), seminar (20), class (19), exhibit (19), centr (18), attend (18), school (18), doctor (18), confer (18), year (17), 
Granting of scholarships in favour of graduates in medicine or sciences of the health and/or of students of the udg for cursar studies of investigation to the university of montpeller.	Research - education	Education	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	162	scholarship (111), prize (94), grant (83), award (31), abl (24), student (23), artist (23), conced (23), charact (21), creation (20), annual (20), seminar (20), class (19), exhibit (19), centr (18), attend (18), school (18), doctor (18), confer (18), year (17), 
"4 ""scholarships for the artistic creation"" anualsi 1 ""prize of international painting"", each three years."	Cultural	Education	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	162	scholarship (111), prize (94), grant (83), award (31), abl (24), student (23), artist (23), conced (23), charact (21), creation (20), annual (20), seminar (20), class (19), exhibit (19), centr (18), attend (18), school (18), doctor (18), confer (18), year (17), 
promocionar The realisation of activities of research in the field biomédico. Concede scholarships, economic helps for the training of researchers. Organise scientific meetings.	Research biomédica	Education	1418	project (150), organis (143), scientif (141), qualiti (121), cooper (114), profession (113), inform (109), collabor (107), especi (104), entiti (103), institut (102), sanitari (100), health (100), life (94), program (93), special (91), defenc (90), favour (88), human (85), particip (85), 	162	scholarship (111), prize (94), grant (83), award (31), abl (24), student (23), artist (23), conced (23), charact (21), creation (20), annual (20), seminar (20), class (19), exhibit (19), centr (18), attend (18), school (18), doctor (18), confer (18), year (17), 
